Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
35,35,023159503b,P,A,P,A,A,A,A,A,A,P,A,A,A,A,3,21.428571428571427,,10,13,,,,,,,,5.1,,,,,,,ABS_EXAM,,,,,7.8,,,,,,,,,,14,,
36,36,0231990525,P,P,P,P,A,A,A,A,A,A,P,P,A,A,6,42.85714285714285,,9.4,8,,,,,,,,5.5,,,,,,,8,,,,,6.2,,,,,,,,,,12.1,,
37,37,023017440f,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,3.2,8,,,,,,,,9.3,,,,,,,6,,,,,13,,,,,,,,,,15,,
38,38,0232454919,P,P,P,P,A,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,ABS_EXAM,7,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,13.4,,
39,39,023022572b,P,A,A,A,A,A,A,A,A,A,A,P,A,A,2,14.285714285714285,,8.6,14.5,,,,,,,,12.3,,,,,,,11,,,,,11.8,,,,,,,,,,14.3,,
40,40,0230108220,P,P,P,A,P,P,P,A,P,A,P,A,A,A,8,57.14285714285714,,12.9,9,,,,,,,,10.3,,,,,,,16,,,,,14.8,,,,,,,,,,17,,
41,41,023011922d,P,P,P,A,A,A,A,A,P,A,A,A,A,A,4,28.57142857142857,,3.2,7.5,,,,,,,,6.9,,,,,,,3,,,,,5.4,,,,,,,,,,14.3,,
42,42,023018390d,A,A,P,P,A,A,P,A,P,P,P,P,A,A,7,50.0,,19.8,15.5,,,,,,,,19,,,,,,,20,,,,,13,,,,,,,,,,17.3,,
43,43,0232421751,A,P,P,P,P,A,A,A,P,P,P,A,P,P,9,64.28571428571429,,10,10,,,,,,,,7.3,,,,,,,16,,,,,6.4,,,,,,,,,,15.6,,
44,44,0231754101,A,A,P,A,A,A,P,A,P,P,P,P,A,P,7,50.0,,12.9,9,,,,,,,,13.3,,,,,,,14,,,,,16.5,,,,,,,,,,16.9,,
45,45,0211657614,P,P,P,P,P,A,A,A,A,P,A,A,A,P,7,50.0,,12,4,,,,,,,,13.8,,,,,,,8,,,,,10.7,,,,,,,,,,14.1,,
46,46,023122492c,P,P,A,A,A,A,A,A,A,A,A,P,A,P,4,28.57142857142857,,20,15.5,,,,,,,,17.1,,,,,,,20,,,,,19.6,,,,,,,,,,16.2,,
47,47,0231733556,P,A,A,A,A,A,A,A,A,A,P,A,A,A,2,14.285714285714285,,15.7,15.5,,,,,,,,15,,,,,,,15,,,,,14.1,,,,,,,,,,17.7,,
48,48,0232608509,P,A,A,A,A,A,A,A,P,A,A,A,A,A,2,14.285714285714285,,9.5,10.5,,,,,,,,5,,,,,,,8,,,,,5.9,,,,,,,,,,13.7,,
49,49,0232519054,P,P,P,A,A,P,P,A,P,A,P,P,A,A,8,57.14285714285714,,12.3,13.5,,,,,,,,10.5,,,,,,,13,,,,,11.6,,,,,,,,,,17.3,,
50,50,0232453107,P,A,P,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM_JUST,8,,,,,,,,ABS_EXAM_JUST,,,,,,,ABS_EXAM_JUST,,,,,ABS_EXAM_JUST,,,,,,,,,,13.3,,
51,51,023064755a,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,8,4,,,,,,,,8.3,,,,,,,7,,,,,10.1,,,,,,,,,,15.8,,
52,52,0231766118,P,A,P,P,P,P,P,A,P,P,A,P,P,A,10,71.42857142857143,,7.7,10,,,,,,,,9.1,,,,,,,14,,,,,13,,,,,,,,,,16.6,,
53,53,023087763f,P,P,A,A,P,A,A,A,A,P,A,A,A,A,4,28.57142857142857,,4.8,13.5,,,,,,,,7,,,,,,,4,,,,,10.1,,,,,,,,,,14.1,,
54,54,023244245e,P,P,P,A,A,P,P,A,P,A,P,P,A,A,8,57.14285714285714,,11.3,10,,,,,,,,14.7,,,,,,,14,,,,,10,,,,,,,,,,15.1,,
55,55,0231777024,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,7.5,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,11.9,,
56,56,0232590719,A,A,P,P,P,A,A,A,A,A,P,P,P,A,6,42.85714285714285,,20,11,,,,,,,,12.8,,,,,,,17,,,,,14.4,,,,,,,,,,14.6,,
57,57,0232547750,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,7.1,6,,,,,,,,4,,,,,,,9,,,,,8.9,,,,,,,,,,12.7,,
58,58,0231297359,P,P,A,P,A,P,P,A,P,P,P,P,P,A,10,71.42857142857143,,20,14,,,,,,,,14.7,,,,,,,20,,,,,16.6,,,,,,,,,,16.9,,
59,59,023255060c,A,A,A,A,A,A,A,A,A,A,P,A,A,A,1,7.142857142857142,,10,10.5,,,,,,,,8.2,,,,,,,16,,,,,10,,,,,,,,,,14.5,,
60,60,0230218847,A,A,A,A,A,P,A,A,A,A,A,P,P,A,3,21.428571428571427,,11.8,11,,,,,,,,7.8,,,,,,,11,,,,,14,,,,,,,,,,14.9,,
61,61,023216612f,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,1.3,4.5,,,,,,,,4.8,,,,,,,0,,,,,1.8,,,,,,,,,,2.3,,
62,62,0230999717,P,A,A,A,A,A,A,A,A,A,A,P,A,A,2,14.285714285714285,,3.3,16,,,,,,,,6.3,,,,,,,5,,,,,6.1,,,,,,,,,,3.7,,
63,63,023238264e,P,P,A,P,A,P,P,A,P,A,A,A,P,A,7,50.0,,12.5,14.5,,,,,,,,14.1,,,,,,,11,,,,,12.4,,,,,,,,,,14.7,,
64,64,0231364350,A,A,A,P,A,A,P,A,P,A,A,A,A,A,3,21.428571428571427,,12.8,7,,,,,,,,14.4,,,,,,,18,,,,,17.9,,,,,,,,,,14.7,,
65,65,023249552b,A,A,P,A,A,A,A,A,P,A,A,A,A,A,2,14.285714285714285,,17,11.5,,,,,,,,14.7,,,,,,,14,,,,,14.1,,,,,,,,,,17,,
66,66,0232528451,A,P,P,A,P,P,A,A,P,P,A,A,A,A,6,42.85714285714285,,10.9,ABS_EXAM,,,,,,,,7.1,,,,,,,14,,,,,8.5,,,,,,,,,,14.8,,
67,67,0232410340,A,P,P,P,A,A,P,A,A,A,A,A,A,A,4,28.57142857142857,,6.8,15,,,,,,,,7.6,,,,,,,6,,,,,10,,,,,,,,,,10.2,,
68,68,023048305e,A,A,A,A,A,A,A,A,A,A,A,A,P,A,1,7.142857142857142,,5.7,13,,,,,,,,3.3,,,,,,,4,,,,,3.6,,,,,,,,,,4,,
69,69,023254120f,P,A,A,A,A,A,A,A,A,A,P,A,A,A,2,14.285714285714285,,13.7,14,,,,,,,,10.9,,,,,,,14,,,,,15.3,,,,,,,,,,11.5,,
70,70,0232478543,A,A,P,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,4.5,13.5,,,,,,,,6.2,,,,,,,9,,,,,10.6,,,,,,,,,,13.5,,
71,71,0231728221,A,A,P,P,A,P,A,A,P,A,P,P,P,A,7,50.0,,ABS_EXAM,10.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
72,72,023087230a,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,2.1,7.5,,,,,,,,2.9,,,,,,,4,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
73,73,023067524c,P,A,P,P,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,,7.5,,,,,,,,ABS_EXAM,,,,,,,6,,,,,,,,,,,,,,,4,,
74,74,0232378323,A,A,A,A,P,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,4.2,6.5,,,,,,,,2.2,,,,,,,5,,,,,,,,,,,,,,,11.6,,
75,75,023240691e,A,P,A,P,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,6,10,,,,,,,,6.5,,,,,,,3,,,,,7.3,,,,,,,,,,12.5,,
76,76,023238892c,P,A,A,A,A,A,A,A,P,P,P,A,P,A,5,35.714285714285715,,19,11.5,,,,,,,,14.8,,,,,,,17,,,,,17.4,,,,,,,,,,17.2,,
77,77,023216914d,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,5.7,12.5,,,,,,,,9.5,,,,,,,7,,,,,8.8,,,,,,,,,,13.5,,
78,78,023180873e,A,P,A,A,A,A,A,A,A,A,A,P,A,A,2,14.285714285714285,,,10,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,,,,11.3,,
79,79,023130081b,P,P,P,A,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,9.1,9,,,,,,,,12.2,,,,,,,13,,,,,ABS_EXAM,,,,,,,,,,14.6,,
80,80,023256040d,A,P,P,P,P,P,P,A,P,P,P,A,A,A,9,64.28571428571429,,9.6,6,,,,,,,,6.2,,,,,,,10,,,,,5.7,,,,,,,,,,14.8,,
81,81,0222128643,A,A,A,A,A,A,A,A,A,A,A,A,P,A,1,7.142857142857142,,5.8,14.5,,,,,,,,ABS_EXAM,,,,,,,10,,,,,2,,,,,,,,,,11.2,,
82,82,0222051043,P,P,P,A,P,A,P,A,P,A,A,A,A,A,6,42.85714285714285,,13.1,4,,,,,,,,7.9,,,,,,,9,,,,,12.8,,,,,,,,,,11.3,,
83,83,023255372b,P,P,P,P,A,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,ABS_EXAM,12.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,16.2,,,,,,,,,,17,,
84,84,023233720c,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,4.2,13,,,,,,,,4.4,,,,,,,3,,,,,3.7,,,,,,,,,,3.3,,
85,85,023259900b,A,A,P,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,10,5.5,,,,,,,,12.6,,,,,,,7,,,,,2.6,,,,,,,,,,13.9,,
86,86,023153864d,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,2,7,,,,,,,,1.8,,,,,,,1,,,,,1.8,,,,,,,,,,4,,
87,87,0231954844,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,ABS_EXAM,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
88,88,0231480049,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,2.7,3.5,,,,,,,,1.5,,,,,,,1,,,,,2.2,,,,,,,,,,3,,
89,89,0230444500,P,P,P,P,A,P,P,A,P,A,A,A,A,A,7,50.0,,7.1,6.5,,,,,,,,8.2,,,,,,,8,,,,,3.3,,,,,,,,,,3.3,,
91,91,0232403159,P,A,A,A,A,A,A,A,A,A,P,A,A,A,2,14.285714285714285,,13.4,14.5,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,15.2,,
92,92,0232528350,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,ABS_EXAM,ABS_EXAM,ABS_EXAM,,15.5,,,,,,ABS_EXAM,ABS_EXAM,,ABS_EXAM,,,,ABS_EXAM,,,,,,18,,16,,,,,,,ABS_EXAM,,
93,93,0231298605,P,A,A,A,A,A,P,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,8.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
94,94,023244390c,A,P,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,ABS_EXAM,7.5,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,10,,,,,,,,,,ABS_EXAM,,
96,96,0230360925,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,,ABS_EXAM,4,,,,,,,,ABS_EXAM,,,,,,,ABS_EXAM,,,,,ABS_EXAM,,,,,,,,,,ABS_EXAM,,
97,97,023246642b,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,0,,,,,,,,,ABS_EXAM,,,,,,,0,,,,,0,,,,,,,,,,0,,
